alpha,treatment,n,belief_p_good,sigma
0.3,random,4,0.00015519854688630862,1.0
0.3,random,4,0.000322281578390244,1.0
0.3,random,4,0.0006691218136659368,1.0
0.3,random,4,0.0013887138389895221,1.0
0.3,random,4,0.0028799447526805452,1.0
0.3,random,4,0.005962929815715962,1.0
0.3,random,4,0.012305525174070148,1.0
0.3,random,4,0.02522336653034603,1.0
0.3,random,4,0.05100160356570151,1.0
0.3,random,4,0.10041133455210231,1.0
0.3,random,4,0.18819599109131396,1.0
0.3,random,4,0.32499999999999996,0.2235966798722449
0.3,random,4,0.5,0.0
0.3,random,4,0.675,0.0
0.3,random,4,0.811804008908686,0.0
0.3,random,4,0.8995886654478976,0.0
0.3,random,4,0.9489983964342984,0.0
0.3,random,4,0.974776633469654,0.0
0.3,random,4,0.9876944748259299,0.0
0.3,random,4,0.9940370701842841,0.0
0.3,random,4,0.9971200552473196,0.0
0.3,random,4,0.9986112861610106,0.0
0.3,random,4,0.9993308781863341,0.0
0.3,random,4,0.9996777184216098,0.0
0.3,random,4,0.9998448014531137,0.0
0.3,random,4,0.9999252687598503,0.0
0.3,random,4,0.9999640168974514,0.0
